line	condition_measurement	background	doubling_time	TOR1_genotype	chrIX_number
1	YNB+RM	SA/SA	5.23489865790913	wt/wt	two
2	YNB+RM	SA/SA	4.76619444353638	wt/wt	two
3	YNB+RM	SA/SA	2.08399515435919	wt/mt	two
4	YNB+RM	SA/SA	2.08555780085071	wt/mt	two
5	YNB+RM	SA/SA	4.94134171009307	wt/wt	three
6	YNB+RM	SA/SA	4.85581060876975	wt/wt	three
7	YNB+RM	SA/SA	1.87139694588411	wt/mt	three
8	YNB+RM	SA/SA	1.99104110297264	wt/mt	three
9	YNB+RM	SA/SA	2.13836919716976	wt/mt	two
10	YNB+RM	SA/SA	2.13750046344379	wt/mt	two
11	YNB+RM	SA/SA	1.98958736183004	mt/mt	two
12	YNB+RM	SA/SA	1.80113629946287	mt/mt	two
13	YNB+RM	SA/SA	1.86629316152072	wt/mt	three
14	YNB+RM	SA/SA	1.85885074746136	wt/mt	three
15	YNB+RM	SA/SA	1.78923289931958	mt/mt	three
16	YNB+RM	SA/SA	1.78929246012799	mt/mt	three
17	YNB+RM	SA/SA	4.62446789065807	wt/wt	three
18	YNB+RM	SA/SA	4.4719787922555	wt/wt	three
19	YNB+RM	SA/SA	1.69694576260553	wt/mt	three
20	YNB+RM	SA/SA	1.6119570330983	wt/mt	three
21	YNB+RM	SA/SA	4.15222519334594	wt/wt	four
22	YNB+RM	SA/SA	4.02261617682778	wt/wt	four
23	YNB+RM	SA/SA	1.6378467426858	wt/mt	four
24	YNB+RM	SA/SA	1.70239491725215	wt/mt	four
25	YNB+RM	SA/SA	4.49309969882367	wt/wt	two
26	YNB+RM	SA/SA	4.79330777809887	wt/wt	two
27	YNB+RM	SA/SA	2.13561577083665	wt/mt	two
28	YNB+RM	SA/SA	2.05913068033084	wt/mt	two
29	YNB+RM	SA/SA	4.78100123366783	wt/wt	three
30	YNB+RM	SA/SA	4.80579566371309	wt/wt	three
31	YNB+RM	SA/SA	1.95747882154746	wt/mt	three
32	YNB+RM	SA/SA	1.97374518802007	wt/mt	three
33	YNB+RM	SA/SA	2.13649312181415	wt/mt	two
34	YNB+RM	SA/SA	2.13377577449813	wt/mt	two
35	YNB+RM	SA/SA	1.9570835783017	mt/mt	two
36	YNB+RM	SA/SA	1.86760848436891	mt/mt	two
37	YNB+RM	SA/SA	1.80780258003084	wt/mt	three
38	YNB+RM	SA/SA	1.94675533974651	wt/mt	three
39	YNB+RM	SA/SA	1.86677738978393	mt/mt	three
40	YNB+RM	SA/SA	1.80324084808173	mt/mt	three
41	YNB+RM	SA/SA	4.59550382271736	wt/wt	three
42	YNB+RM	SA/SA	4.38789760900246	wt/wt	three
43	YNB+RM	SA/SA	1.69748925180169	wt/mt	three
44	YNB+RM	SA/SA	1.62826729306216	wt/mt	three
45	YNB+RM	SA/SA	3.96981223660747	wt/wt	four
46	YNB+RM	SA/SA	3.88888795892244	wt/wt	four
47	YNB+RM	SA/SA	1.66411348686063	wt/mt	four
48	YNB+RM	SA/SA	1.68243825114006	wt/mt	four
49	YNB+RM	SA/SA	4.67030838831176	wt/wt	two
50	YNB+RM	SA/SA	4.60721416068822	wt/wt	two
51	YNB+RM	SA/SA	2.08975470691934	wt/mt	two
52	YNB+RM	SA/SA	2.13046928665496	wt/mt	two
53	YNB+RM	SA/SA	4.79134316649549	wt/wt	three
54	YNB+RM	SA/SA	4.94319136294285	wt/wt	three
55	YNB+RM	SA/SA	2.01754654477015	wt/mt	three
56	YNB+RM	SA/SA	1.84438419982301	wt/mt	three
57	YNB+RM	SA/SA	2.10540978046738	wt/mt	two
58	YNB+RM	SA/SA	2.01043892338527	wt/mt	two
59	YNB+RM	SA/SA	1.86117257577906	mt/mt	two
60	YNB+RM	SA/SA	1.95488411508262	mt/mt	two
61	YNB+RM	SA/SA	1.80218800309532	wt/mt	three
62	YNB+RM	SA/SA	1.86191939241025	wt/mt	three
63	YNB+RM	SA/SA	1.76978650465688	mt/mt	three
64	YNB+RM	SA/SA	1.75528130282174	mt/mt	three
65	YNB+RM	SA/SA	4.51087553501936	wt/wt	three
66	YNB+RM	SA/SA	4.56314172055629	wt/wt	three
67	YNB+RM	SA/SA	1.7732925757228	wt/mt	three
68	YNB+RM	SA/SA	1.75671636991829	wt/mt	three
69	YNB+RM	SA/SA	3.78759451729661	wt/wt	four
70	YNB+RM	SA/SA	4.02802921356642	wt/wt	four
71	YNB+RM	SA/SA	1.72657754867964	wt/mt	four
72	YNB+RM	SA/SA	1.66054821400421	wt/mt	four
73	YNB+RM	SA/SA	2.07754587983566	wt/mt	three
74	YNB+RM	SA/SA	1.94301558244809	wt/mt	three
75	YNB+RM	SA/SA	1.80860573130259	mt/mt	three
76	YNB+RM	SA/SA	1.83801229841365	mt/mt	three
77	YNB+RM	SA/SA	1.89101942156834	wt/mt	four
78	YNB+RM	SA/SA	2.06874703159794	wt/mt	four
79	YNB+RM	SA/SA	1.68138141880198	mt/mt	four
80	YNB+RM	SA/SA	1.8437374310327	mt/mt	four
81	YNB+RM	SA/SA	2.01069016688309	wt/mt	three
82	YNB+RM	SA/SA	1.94213013887183	wt/mt	three
83	YNB+RM	SA/SA	1.7999109922265	mt/mt	three
84	YNB+RM	SA/SA	1.79590489733122	mt/mt	three
85	YNB+RM	SA/SA	1.85151018351104	wt/mt	four
86	YNB+RM	SA/SA	1.91678060010111	wt/mt	four
87	YNB+RM	SA/SA	1.71360375590744	mt/mt	four
88	YNB+RM	SA/SA	1.814051037996	mt/mt	four
89	YNB+RM	SA/SA	2.32136485951871	wt/mt	three
90	YNB+RM	SA/SA	1.94674132080478	wt/mt	three
91	YNB+RM	SA/SA	1.85791207251416	mt/mt	three
92	YNB+RM	SA/SA	1.97976978496078	mt/mt	three
93	YNB+RM	SA/SA	1.81799158980099	wt/mt	four
94	YNB+RM	SA/SA	1.86032659011475	wt/mt	four
95	YNB+RM	SA/SA	1.78617053961489	mt/mt	four
96	YNB+RM	SA/SA	1.80382141648342	mt/mt	four
97	YNB+RM	SA/SA	3.77649023597837	wt/wt	two
98	YNB+RM	SA/SA	3.79578670553816	wt/wt	two
99	YNB+RM	SA/SA	2.21452774626977	wt/mt	two
100	YNB+RM	SA/SA	2.2197567258265	wt/mt	two
101	YNB+RM	SA/SA	4.13051523633242	wt/wt	three
102	YNB+RM	SA/SA	3.94921930346237	wt/wt	three
103	YNB+RM	SA/SA	2.08416929146199	wt/mt	three
104	YNB+RM	SA/SA	2.09430975516291	wt/mt	three
