Strain	Condition	doubling_time	doubling_time_compared_with_SA/WE
SA/SA_CC454	Synthetic_wine_must_20%Glucose	3.241807	0.953255360910381
SA/SA_CC454	YNB_complete	1.730419	0.985082741145937
SA/SA_CC454	YNB_complete+D2O	3.648976	0.980929149513511
SA/SA_CC454	YNB_complete+RM	3.202372	0.979438762979803
SA/SA_CC454	YNB_limited+Adenine	8.994217	0.924176697006003
SA/SA_CC454	YNB_limited+Alanine	3.44528	0.981106757952014
SA/SA_CC454	YNB_limited+Ammonium_sulphate	2.527255	0.950537185497778
SA/SA_CC454	YNB_limited+Asparagine	2.805812	0.965664971649329
SA/SA_CC454	YNB_limited+Aspartic_acid	3.130395	0.967557531500378
SA/SA_CC454	YNB_limited+Citrulline	5.933874	0.931670400859152
SA/SA_CC454	YNB_limited+Glycine	8.467885	0.994952907116101
SA/SA_CC454	YNB_limited+Guanidine	18.626664	0.925843365472264
SA/SA_CC454	YNB_limited+Isoleucine	4.096595	0.985166689272189
SA/SA_CC454	YNB_limited+Methionine	4.127426	0.927304119640665
SA/SA_CC454	YNB_limited+Phenylalanine	2.877923	0.957586245792148
SA/SA_CC454	YNB_limited+Serine	2.992603	0.960831529729207
SA/SA_CC454	YNB_limited+Threonine	3.746721	0.850307694961228
SA/SA_CC454	YNB_limited+Tryptophan	7.28379	0.897260246972953
SA/SA_CC454	YNB_limited+Tyrosine	4.575053	0.952553991488118
SA/SA_CC454	YNB_limited+Urea	3.294871	1.0363872673188
SA/WE_CC444	Synthetic_wine_must_20%Glucose	3.400775	1
SA/WE_CC444	YNB_complete	1.756623	1
SA/WE_CC444	YNB_complete+D2O	3.719918	1
SA/WE_CC444	YNB_complete+RM	3.269599	1
SA/WE_CC444	YNB_limited+Adenine	9.73214	1
SA/WE_CC444	YNB_limited+Alanine	3.511626	1
SA/WE_CC444	YNB_limited+Ammonium_sulphate	2.658765	1
SA/WE_CC444	YNB_limited+Asparagine	2.905575	1
SA/WE_CC444	YNB_limited+Aspartic_acid	3.235358	1
SA/WE_CC444	YNB_limited+Citrulline	6.36907	1
SA/WE_CC444	YNB_limited+Glycine	8.51084	1
SA/WE_CC444	YNB_limited+Guanidine	20.118591	1
SA/WE_CC444	YNB_limited+Isoleucine	4.158276	1
SA/WE_CC444	YNB_limited+Methionine	4.450995	1
SA/WE_CC444	YNB_limited+Phenylalanine	3.005393	1
SA/WE_CC444	YNB_limited+Serine	3.114597	1
SA/WE_CC444	YNB_limited+Threonine	4.406312	1
SA/WE_CC444	YNB_limited+Tryptophan	8.117812	1
SA/WE_CC444	YNB_limited+Tyrosine	4.802933	1
SA/WE_CC444	YNB_limited+Urea	3.179189	1
WE/SA_TOR1Del_YGL2498	Synthetic_wine_must_20%Glucose	3.15368	0.927341561849872
WE/SA_TOR1Del_YGL2498	YNB_complete	2.006921	1.14248817190712
WE/SA_TOR1Del_YGL2498	YNB_complete+D2O	3.739381	1.00523210457865
WE/SA_TOR1Del_YGL2498	YNB_complete+RM	4.935749	1.50958848470409
WE/SA_TOR1Del_YGL2498	YNB_limited+Adenine	9.712204	0.997951529673844
WE/SA_TOR1Del_YGL2498	YNB_limited+Alanine	3.686227	1.04972084157026
WE/SA_TOR1Del_YGL2498	YNB_limited+Ammonium_sulphate	2.970287	1.11716793323216
