crossed_strain	condition_measurement	background	TOR1	chrIX	scanner	doubling_time
M1	YNB+RM	SA/SA	wt/wt	two	mu8	5.234898658
M1	YNB+RM	SA/SA	wt/wt	two	mu8	4.766194444
M2	YNB+RM	SA/SA	wt/mt	two	mu8	2.083995154
M2	YNB+RM	SA/SA	wt/mt	two	mu8	2.085557801
M3	YNB+RM	SA/SA	wt/wt	three	mu8	4.94134171
M3	YNB+RM	SA/SA	wt/wt	three	mu8	4.855810609
M4	YNB+RM	SA/SA	wt/mt	three	mu8	1.871396946
M4	YNB+RM	SA/SA	wt/mt	three	mu8	1.991041103
M5	YNB+RM	SA/SA	wt/mt	two	mu8	2.138369197
M5	YNB+RM	SA/SA	wt/mt	two	mu8	2.137500463
M6	YNB+RM	SA/SA	mt/mt	two	mu8	1.989587362
M6	YNB+RM	SA/SA	mt/mt	two	mu8	1.801136299
M7	YNB+RM	SA/SA	wt/mt	three	mu8	1.866293162
M7	YNB+RM	SA/SA	wt/mt	three	mu8	1.858850747
M8	YNB+RM	SA/SA	mt/mt	three	mu8	1.789232899
M8	YNB+RM	SA/SA	mt/mt	three	mu8	1.78929246
M9	YNB+RM	SA/SA	wt/wt	three	mu8	4.624467891
M9	YNB+RM	SA/SA	wt/wt	three	mu8	4.471978792
M10	YNB+RM	SA/SA	wt/mt	three	mu8	1.696945763
M10	YNB+RM	SA/SA	wt/mt	three	mu8	1.611957033
M11	YNB+RM	SA/SA	wt/wt	four	mu8	4.152225193
M11	YNB+RM	SA/SA	wt/wt	four	mu8	4.022616177
M12	YNB+RM	SA/SA	wt/mt	four	mu8	1.637846743
M12	YNB+RM	SA/SA	wt/mt	four	mu8	1.702394917
M1	YNB+RM	SA/SA	wt/wt	two	mu8	4.493099699
M1	YNB+RM	SA/SA	wt/wt	two	mu8	4.793307778
M2	YNB+RM	SA/SA	wt/mt	two	mu8	2.135615771
M2	YNB+RM	SA/SA	wt/mt	two	mu8	2.05913068
M3	YNB+RM	SA/SA	wt/wt	three	mu8	4.781001234
M3	YNB+RM	SA/SA	wt/wt	three	mu8	4.805795664
M4	YNB+RM	SA/SA	wt/mt	three	mu8	1.957478822
M4	YNB+RM	SA/SA	wt/mt	three	mu8	1.973745188
M5	YNB+RM	SA/SA	wt/mt	two	mu8	2.136493122
M5	YNB+RM	SA/SA	wt/mt	two	mu8	2.133775774
M6	YNB+RM	SA/SA	mt/mt	two	mu8	1.957083578
M6	YNB+RM	SA/SA	mt/mt	two	mu8	1.867608484
M7	YNB+RM	SA/SA	wt/mt	three	mu8	1.80780258
M7	YNB+RM	SA/SA	wt/mt	three	mu8	1.94675534
M8	YNB+RM	SA/SA	mt/mt	three	mu8	1.86677739
M8	YNB+RM	SA/SA	mt/mt	three	mu8	1.803240848
M9	YNB+RM	SA/SA	wt/wt	three	mu8	4.595503823
M9	YNB+RM	SA/SA	wt/wt	three	mu8	4.387897609
M10	YNB+RM	SA/SA	wt/mt	three	mu8	1.697489252
M10	YNB+RM	SA/SA	wt/mt	three	mu8	1.628267293
M11	YNB+RM	SA/SA	wt/wt	four	mu8	3.969812237
M11	YNB+RM	SA/SA	wt/wt	four	mu8	3.888887959
M12	YNB+RM	SA/SA	wt/mt	four	mu8	1.664113487
