condition_evolved	condition_measurement	isolate	population	day	genotyped_mutated_gene	genotyped_mutated_site	doubling_time
RM	YNB	P18_A1	F12_1_RM_2	32	TOR1	S1972N_hete	1.42100649224389
RM	YNB	P18_A1	F12_1_RM_2	32	TOR1	S1972N_hete	1.36920782839132
RM	YNB	P19_A1	F12_1_RM_4	32	TOR1	W2038L_hete	1.49392605977449
RM	YNB	P19_A1	F12_1_RM_4	32	TOR1	W2038L_hete	1.75464864738528
RM	YNB	P18_A2	F12_1_RM_2	32	unknown	unknown	1.84090756128112
RM	YNB	P18_A2	F12_1_RM_2	32	unknown	unknown	1.56502961331653
RM	YNB	P19_A2	F12_1_RM_4	32	unknown	unknown	1.9341305645828
RM	YNB	P19_A2	F12_1_RM_4	32	unknown	unknown	1.92361486839877
RM	YNB	P18_A3	F12_1_RM_2	32	unknown	unknown	1.82208228587168
RM	YNB	P18_A3	F12_1_RM_2	32	unknown	unknown	1.98417705296371
RM	YNB	P19_A3	F12_1_RM_4	32	unknown	unknown	1.53176676195916
RM	YNB	P19_A3	F12_1_RM_4	32	unknown	unknown	1.43672744511047
RM	YNB	P18_A4	F12_1_RM_2	32	unknown	unknown	1.47556309420211
RM	YNB	P18_A4	F12_1_RM_2	32	unknown	unknown	1.76273945137473
RM	YNB	P19_A4	F12_1_RM_4	32	unknown	unknown	2.0138159518733
RM	YNB	P19_A4	F12_1_RM_4	32	unknown	unknown	1.82594183100049
RM	YNB	P18_A5	F12_1_RM_2	32	unknown	unknown	1.52670238439185
RM	YNB	P18_A5	F12_1_RM_2	32	unknown	unknown	1.55443630154708
RM	YNB	P19_A5	F12_1_RM_4	32	unknown	unknown	1.78528283599894
RM	YNB	P19_A5	F12_1_RM_4	32	unknown	unknown	1.86944845442056
RM	YNB	P18_A6	F12_1_RM_2	32	unknown	unknown	1.8954820588864
RM	YNB	P18_A6	F12_1_RM_2	32	unknown	unknown	1.58583563686984
RM	YNB	P19_A6	F12_1_RM_4	32	FPR1	T82P_homo	1.9808062156416
RM	YNB	P19_A6	F12_1_RM_4	32	FPR1	T82P_homo	2.00124256198025
RM	YNB	P18_A7	F12_1_RM_2	32	unknown	unknown	1.52008807207734
RM	YNB	P18_A7	F12_1_RM_2	32	unknown	unknown	1.52365849065663
RM	YNB	P19_A7	F12_1_RM_4	32	unknown	unknown	1.83032479284481
RM	YNB	P19_A7	F12_1_RM_4	32	unknown	unknown	1.51414281912112
RM	YNB	P18_A8	F12_1_RM_2	32	unknown	unknown	1.57018963939054
RM	YNB	P18_A8	F12_1_RM_2	32	unknown	unknown	1.51171210710129
RM	YNB	P19_A8	F12_1_RM_4	32	unknown	unknown	2.09155854361756
RM	YNB	P19_A8	F12_1_RM_4	32	unknown	unknown	2.02861552526336
RM	YNB	P18_A9	F12_1_RM_2	32	unknown	unknown	NA
RM	YNB	P18_A9	F12_1_RM_2	32	unknown	unknown	1.44696299581775
RM	YNB	P19_A9	F12_1_RM_4	32	unknown	unknown	1.97040977494919
RM	YNB	P19_A9	F12_1_RM_4	32	unknown	unknown	2.07528004159092
RM	YNB	P18_A10	F12_1_RM_2	32	unknown	unknown	1.55274267758805
RM	YNB	P18_A10	F12_1_RM_2	32	unknown	unknown	1.97855442178499
