condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
HU	YNB	WE	0	0	P0	1.55585002276239
HU	YNB	two-parent	1	0	P0	2.20026220157617
HU	YNB	WE	0	0	P0	2.05086153607617
HU	YNB	two-parent	1	0	P0	2.4508154145516
HU	YNB	WE	0	1	P1	2.18207836648383
HU	YNB	two-parent	1	1	P1	2.27766799476949
HU	YNB	WE	0	1	P1	2.12837155429889
HU	YNB	two-parent	1	1	P1	2.46305956003038
HU	YNB	WE	0	1	P2	2.39626023779197
HU	YNB	two-parent	1	1	P2	1.76236967836467
HU	YNB	WE	0	1	P2	2.32597673348327
HU	YNB	two-parent	1	1	P2	1.89643472272471
HU	YNB	WE	0	1	P3	2.00590365528375
HU	YNB	two-parent	1	1	P3	2.43191829838401
HU	YNB	WE	0	1	P3	2.30227013825449
HU	YNB	two-parent	1	1	P3	2.20462573756219
HU	YNB	WE	0	1	P4	2.09459111194232
HU	YNB	two-parent	1	1	P4	2.35582494962696
HU	YNB	WE	0	1	P4	2.30756523029703
HU	YNB	two-parent	1	1	P4	2.28963838363543
HU	YNB	WE	0	1	P5	2.23033916287684
HU	YNB	two-parent	1	1	P5	2.17925939562631
HU	YNB	WE	0	1	P5	2.1336257706838
HU	YNB	two-parent	1	1	P5	2.0352339185164
HU	YNB	WE	0	0	P0	1.88255760077785
HU	YNB	two-parent	1	0	P0	2.03867863985733
HU	YNB	WE	0	0	P0	1.81471415955747
HU	YNB	two-parent	1	0	P0	1.94248001653043
HU	YNB	WE	0	1	P1	1.94984381012295
HU	YNB	two-parent	1	1	P1	2.19447581490748
HU	YNB	WE	0	1	P1	2.33393580110885
HU	YNB	two-parent	1	1	P1	2.28656359195086
HU	YNB	WE	0	1	P2	2.36799247084086
HU	YNB	two-parent	1	1	P2	1.98115485244827
HU	YNB	WE	0	1	P2	2.07737406094014
HU	YNB	two-parent	1	1	P2	1.99688946668025
HU	YNB	WE	0	1	P3	2.02452365460142
HU	YNB	two-parent	1	1	P3	2.29521594544453
HU	YNB	WE	0	1	P3	2.08444228580164
HU	YNB	two-parent	1	1	P3	1.94556476360269
HU	YNB	WE	0	1	P4	1.47517369890425
HU	YNB	two-parent	1	1	P4	1.83284169204762
HU	YNB	WE	0	1	P4	1.63510823116489
HU	YNB	two-parent	1	1	P4	2.07119604841095
HU	YNB	WE	0	1	P5	1.5865411485894
HU	YNB	two-parent	1	1	P5	2.05167478699709
HU	YNB	WE	0	1	P5	1.73858709166168
HU	YNB	two-parent	1	1	P5	1.76285056751114
HU	YNB	WE	0	1	P6	1.76252456787422
HU	YNB	WE	0	1	P6	1.80552469232942
HU	YNB	WE	0	1	P7	1.83531905121593
HU	YNB	WE	0	1	P7	1.78605271096094
HU	YNB	WE	0	1	P8	2.05674968469576
HU	YNB	WE	0	1	P8	1.97508907690355
HU	YNB	WE	0	1	P6	1.9158233326946
HU	YNB	WE	0	1	P6	1.89182306034124
HU	YNB	WE	0	1	P7	1.86547582238865
HU	YNB	WE	0	1	P7	2.05626814445757
HU	YNB	WE	0	1	P8	1.97281133832619
HU	YNB	WE	0	1	P8	2.02473058087335
HU	YNB	WE	0	1	P9	1.7581331887791
HU	YNB	WE	0	1	P9	1.77216738776521
HU	YNB	WE	0	1	P10	1.87564668492772
HU	YNB	WE	0	1	P10	2.04110306776952
HU	YNB	WE	0	1	P11	2.15410877175827
HU	YNB	WE	0	1	P11	2.03793445739675
HU	YNB	WE	0	1	P12	2.17286874681741
HU	YNB	WE	0	1	P12	2.06727258451244
HU	YNB	WE	0	1	P13	1.72751050197158
HU	YNB	WE	0	1	P13	1.74117718350886
HU	YNB	WE	0	1	P14	1.8602547603386
HU	YNB	WE	0	1	P14	1.74931740691929
HU	YNB	four-parent	1	0	P0	1.73060029686713
HU	YNB	two-parent	1	1	P6	1.9642660944012
HU	YNB	four-parent	1	0	P0	2.01742608761804
HU	YNB	two-parent	1	1	P6	2.02846510087196
HU	YNB	four-parent	1	1	P1	1.93605264058967
HU	YNB	two-parent	1	1	P7	2.08357301017493
HU	YNB	four-parent	1	1	P1	1.87916385862673
HU	YNB	two-parent	1	1	P7	2.17901217330441
HU	YNB	four-parent	1	1	P2	1.97722166759116
HU	YNB	two-parent	1	1	P8	2.04046944412673
HU	YNB	four-parent	1	1	P2	1.95517995815563
HU	YNB	two-parent	1	1	P8	1.93676630241217
HU	YNB	four-parent	1	1	P3	1.82974450968202
HU	YNB	two-parent	1	1	P9	1.94817066952816
HU	YNB	four-parent	1	1	P3	1.81901910550791
HU	YNB	two-parent	1	1	P9	2.07261217965474
HU	YNB	four-parent	1	1	P4	1.8487619227222
HU	YNB	two-parent	1	1	P10	2.02647314363154
HU	YNB	four-parent	1	1	P4	1.90305221378731
HU	YNB	two-parent	1	1	P10	2.11785273027321
HU	YNB	four-parent	1	1	P5	1.7641833959042
HU	YNB	two-parent	1	1	P11	2.04717467058188
HU	YNB	four-parent	1	1	P5	1.77264262890664
HU	YNB	two-parent	1	1	P11	2.07866834171623
HU	YNB	four-parent	1	0	P0	1.79525418719856
HU	YNB	two-parent	1	1	P12	2.1244753954232
HU	YNB	four-parent	1	0	P0	1.88594482973066
HU	YNB	two-parent	1	1	P12	2.02944367683276
HU	YNB	four-parent	1	1	P1	1.81306932336237
HU	YNB	two-parent	1	1	P13	1.9976244560381
HU	YNB	four-parent	1	1	P1	1.97194489243537
HU	YNB	two-parent	1	1	P13	2.2569837217104
HU	YNB	four-parent	1	1	P2	2.05357714229182
HU	YNB	two-parent	1	1	P14	2.16450803693641
HU	YNB	four-parent	1	1	P2	1.9381407948342
HU	YNB	two-parent	1	1	P14	2.10017776903803
HU	YNB	four-parent	1	1	P3	1.8870206778123
HU	YNB	two-parent	1	1	P15	2.24317641853534
HU	YNB	four-parent	1	1	P3	1.99513744736892
HU	YNB	two-parent	1	1	P15	2.01406554886434
HU	YNB	four-parent	1	1	P4	1.82775633949728
HU	YNB	two-parent	1	1	P16	1.93127258526463
HU	YNB	four-parent	1	1	P4	1.86576200910404
HU	YNB	two-parent	1	1	P16	2.08983889433021
HU	YNB	four-parent	1	1	P5	1.84083611029913
HU	YNB	two-parent	1	1	P17	2.14628156930003
HU	YNB	four-parent	1	1	P5	2.04645315139548
HU	YNB	two-parent	1	1	P17	2.11394968170333
HU	YNB	four-parent	1	1	P6	2.14558809946816
HU	YNB	four-parent	1	1	P6	1.84849494903209
HU	YNB	four-parent	1	1	P7	1.79613664878545
HU	YNB	four-parent	1	1	P7	1.85629982848902
HU	YNB	four-parent	1	1	P8	1.85781153176462
HU	YNB	four-parent	1	1	P8	1.73688789927113
HU	YNB	four-parent	1	1	P6	1.92769005065974
HU	YNB	four-parent	1	1	P6	1.78212817381603
HU	YNB	four-parent	1	1	P7	1.79946631775768
HU	YNB	four-parent	1	1	P7	1.84642242044511
HU	YNB	four-parent	1	1	P8	1.76023105384656
HU	YNB	four-parent	1	1	P8	1.65423419731739
HU	YNB	four-parent	1	1	P9	1.57586896782059
HU	YNB	four-parent	1	1	P9	1.66450780901842
HU	YNB	four-parent	1	1	P10	1.71730565708733
