condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
RM	YNB	WE	0	0	P0	1.71167108614502
RM	YNB	WE	0	0	P0	1.85476639640248
RM	YNB	WE	0	1	P1	1.56304312492994
RM	YNB	two-parent	1	1	P7	2.20613022494951
RM	YNB	WE	0	1	P1	2.00460106437058
RM	YNB	two-parent	1	1	P7	2.22762965226627
RM	YNB	WE	0	1	P2	2.01733691664469
RM	YNB	two-parent	1	1	P8	1.92880238784974
RM	YNB	WE	0	1	P2	1.70854426876395
RM	YNB	two-parent	1	1	P8	2.12024624686703
RM	YNB	WE	0	1	P3	1.80377178629775
RM	YNB	two-parent	1	1	P9	1.91069986584069
RM	YNB	WE	0	1	P3	1.71294001690344
RM	YNB	two-parent	1	1	P9	2.02145672986863
RM	YNB	WE	0	1	P4	1.79146855052492
RM	YNB	two-parent	1	1	P10	1.84120074406792
RM	YNB	WE	0	1	P4	1.73928040106601
RM	YNB	two-parent	1	1	P10	1.87284596980734
RM	YNB	WE	0	1	P1	1.68684280558905
RM	YNB	two-parent	1	1	P13	1.87482974185681
RM	YNB	WE	0	1	P1	1.53190821974602
RM	YNB	two-parent	1	1	P13	1.63222836951426
RM	YNB	WE	0	1	P2	1.42035003092564
RM	YNB	two-parent	1	1	P14	1.59851720177418
RM	YNB	WE	0	1	P2	1.38980043642309
RM	YNB	two-parent	1	1	P14	1.69047841621835
RM	YNB	WE	0	1	P3	1.48880426635711
RM	YNB	two-parent	1	1	P15	1.78242098241994
RM	YNB	WE	0	1	P3	1.41139638590845
RM	YNB	two-parent	1	1	P15	1.76433424871166
RM	YNB	WE	0	1	P4	1.44474984082109
RM	YNB	two-parent	1	1	P16	1.86541328698308
RM	YNB	WE	0	1	P4	1.88931334976482
RM	YNB	WE	0	1	P5	1.92631810137825
RM	YNB	two-parent	1	1	P17	1.83706972535554
RM	YNB	WE	0	1	P5	1.86131743289648
RM	YNB	two-parent	1	1	P17	1.63755531207469
RM	YNB	WE	0	1	P6	1.80911719205192
RM	YNB	WE	0	1	P6	1.75508089942635
RM	YNB	WE	0	1	P7	1.77288553163907
RM	YNB	WE	0	1	P7	1.98407854563974
RM	YNB	WE	0	1	P6	1.88490886388285
RM	YNB	WE	0	1	P6	1.88168620485931
RM	YNB	WE	0	1	P7	1.82585209965259
RM	YNB	WE	0	1	P7	1.81401636221306
RM	YNB	WE	0	1	P8	1.74185530450295
RM	YNB	WE	0	1	P8	1.69320457998317
RM	YNB	WE	0	1	P11	1.73978266449781
RM	YNB	WE	0	1	P11	1.65826154417119
RM	YNB	WE	0	1	P12	1.58497318958296
RM	YNB	WE	0	1	P12	1.6024505919353
RM	YNB	WE	0	1	P13	1.54049479790673
RM	YNB	WE	0	1	P13	1.69439787130867
RM	YNB	WE	0	1	P14	1.73400664044577
RM	YNB	WE	0	1	P14	1.73818749530188
RM	YNB	WE	0	1	P15	1.72169160704527
RM	YNB	WE	0	1	P15	1.8259485275845
RM	YNB	four-parent	1	0	P0	2.11012748143999
RM	YNB	two-parent	1	0	P0	2.12102708231285
RM	YNB	four-parent	1	0	P0	1.86377690797894
RM	YNB	two-parent	1	0	P0	1.95506931947071
RM	YNB	four-parent	1	1	P1	1.90713395104851
RM	YNB	two-parent	1	1	P1	2.18030044220208
RM	YNB	four-parent	1	1	P1	2.08971109047171
RM	YNB	two-parent	1	1	P1	2.29525000180331
RM	YNB	four-parent	1	1	P2	2.08993149223192
RM	YNB	two-parent	1	1	P2	1.83034539503632
RM	YNB	four-parent	1	1	P2	2.0695091668523
RM	YNB	two-parent	1	1	P2	2.15925548169959
RM	YNB	four-parent	1	1	P3	1.88105154230756
RM	YNB	two-parent	1	1	P3	2.09000230335156
RM	YNB	four-parent	1	1	P3	1.99833451867046
RM	YNB	two-parent	1	1	P3	2.22915308969923
RM	YNB	four-parent	1	1	P4	1.97777099903254
RM	YNB	two-parent	1	1	P4	2.18023724942988
RM	YNB	four-parent	1	1	P4	1.84265781156662
RM	YNB	two-parent	1	1	P4	2.00557923167022
RM	YNB	four-parent	1	1	P1	1.81254580809615
RM	YNB	two-parent	1	1	P1	1.99702720909299
RM	YNB	four-parent	1	1	P1	1.73201439874895
RM	YNB	two-parent	1	1	P1	1.91987918757427
RM	YNB	four-parent	1	1	P2	1.81610719355777
RM	YNB	four-parent	1	1	P2	1.82877177965031
RM	YNB	four-parent	1	1	P3	1.8782894696602
RM	YNB	two-parent	1	1	P3	2.1342803129975
RM	YNB	four-parent	1	1	P3	1.83228142153375
RM	YNB	two-parent	1	1	P3	2.23105912596157
RM	YNB	four-parent	1	1	P4	1.89463797114068
RM	YNB	two-parent	1	1	P4	2.45943026501031
RM	YNB	four-parent	1	1	P4	2.05258582282439
RM	YNB	two-parent	1	1	P4	2.35695427515929
RM	YNB	four-parent	1	1	P5	1.86446220692959
RM	YNB	four-parent	1	1	P5	1.92574915731474
RM	YNB	two-parent	1	1	P5	1.98212277397165
RM	YNB	four-parent	1	1	P6	2.02938530243974
RM	YNB	four-parent	1	1	P6	1.84507335759085
RM	YNB	four-parent	1	1	P7	1.9611632167815
RM	YNB	four-parent	1	1	P7	1.93031631414393
RM	YNB	four-parent	1	1	P6	1.94257043665741
RM	YNB	four-parent	1	1	P6	1.94690994190857
RM	YNB	four-parent	1	1	P7	1.95817046140861
RM	YNB	four-parent	1	1	P7	1.94698607707823
RM	YNB	four-parent	1	1	P8	1.94936474521079
